분야,대상기술,기술 설명,관계법령
반도체(35개), 반도체 기초소재 제조 기술 , 메모리와 시스템반도체 제조에 필요한 기초 소재 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제78항 관련)"
반도체(35개), 반도체 패턴용 공정 소재 제조 기술 , 회로 이미지 패턴을 형성하는데 사용하는 소재 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제79항 관련)"
반도체(35개), 반도체 제조용 박막 소재 제조 기술 , 반도체 제조에 필수적으로 사용되는 다층박막 소재 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제80항 관련)"
반도체(35개), 반도체용 불소화합물 제조 기술 , 기체 혹은 액체 형태로 에칭과 식각 등의 반도체 공정에 사용되는 불소화합물 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제81항 관련)"
반도체(35개), 반도체 보호 소재 제조 기술 , 반도체 회로 손상 또는 크랙을 방지하기 위한 보호막 소재 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제82항 관련)"
반도체(35개), 반도체용 세라믹 소재 제조 기술 , 반도체 기초소재 제조를 위한 세라믹 소재 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제83항 관련)"
반도체(35개), 반도체 제조용 가스 소재 제조 기술 , 반도체 제조시 사용하는 가스 소재 제조 및 안정화 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제84항 관련)"
반도체(35개), 반도체 증착 공정소재 제조 기술 , 반도체 제조에 있어 박막을 증착하기 위한 소재 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제85항 관련)"
반도체(35개), 반도체 검사장비 제조 기술 ," 반도체 기능 테스트, 반도체칩의 완성정도를 검사하는 장비 제조 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제86항 관련)"
반도체(35개), 반도체 패턴 공정용 장비 부품 제조 기술 , 회로 이미지 패턴을 형성하는데 사용하는 장비 부품 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제87항 관련)"
반도체(35개), 반도체 증착 부품·장비 제조 기술 , 반도체 소자를 구성하는 물질을 초박막 형태로 증착하는 부품·장비 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제88항 관련)"
반도체(35개), 반도체 이송 장치 제조 기술 , 반도체 공정별 다수 챔버 사이 또는 챔버 내에서 제조 제품을 이송하는 장비 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제89항 관련)"
반도체(35개), 반도체 공정용 고정 부품 제조 기술 , 반도체 제조 장비 내에서 기초 소재를 고정하는 부품 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제90항 관련)"
반도체(35개), 반도체 공정 불순물 제거 장비 제조 기술 , 반도체 공정상에 발생되는 불순물을 제거하는 장비 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제91항 관련)"
반도체(35개), 전력제어 부품 제조 기술 , 전력의 변환이나 제어를 하는 반도체 부품 제조 기술 [마목7)에서 이동],"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제92항 관련)"
반도체(35개), 반도체 식각 부품·장비 제조 기술 , 반도체 박막 패턴 정밀가공 공정에 사용되는 부품·장비 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제93항 관련)"
반도체(35개), 고집적 회로 기판 제조 기술 , 고집적된 능동 및 수동회로가 포함된 기판 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제94항 관련)"
반도체(35개), 반도체 후공정 장비 제조 기술 , 첨단 후공정 패키징 제조를 위한 핵심장비 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제95항 관련)"
반도체(35개), 반도체 후공정 열처리 소재 제조 기술 , 첨단 후공정 패키징 제조를 위한 열관리 소재 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제96항 관련)"
반도체(35개), 반도체 열처리 장비 제조 기술 , 반도체 웨이퍼 열처리 공정장비 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제97항 관련)"
반도체(35개), 반도체 패턴 공정용 생산성 향상 제조 기술 , 반도체 극미세 마스크 보호 소재·장비 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제98항 관련)"
반도체(35개), 반도체 웨이퍼 칩 성능 검사 장비 제조 기술 , 반도체 웨이퍼 칩의 전기적 특성을 검사하는 장비 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제99항 관련)"
반도체(35개), 전력반도체 후공정 장비 제조 기술 , 전력반도체 후공정 패키징 제조를 위한 핵심장비 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제100항 관련)"
반도체(35개), 반도체 전공정 플라즈마 처리기술 , 반도체 박막공정 부산물 처리를 위한 플라즈마 장치기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제101항 관련)"
반도체(35개), 차량용 고신뢰성 MCU 제조 기술 , 자동차용 기능안전 대응용 고신뢰성 MCU(Micro Controller Unit) 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제102항 관련)"
반도체(35개), 차량용 AP 제조 기술 ," 차세대 자동차에 대응할 수 있는 대용량, 소리 및 LiDAR(Laser Imaging, Detection and Ranging), 압력, 온도 반도체 센서들의 통합 신호 처리로 능동 대처가 가능한 도메인 컨트롤 방식의 AP(Application Processor) 제조 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제103항 관련)"
반도체(35개), 차세대 라이다 소재부품 제조 기술 ," 4D 센싱을 통한 사물 인식, 공간 위치 인식, 위험 상황 감지 등 자율주행을 가능하게 하는 주파수 변조 방식의 자율차용 차세대 라이다 부품 제조 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제104항 관련)"
반도체(35개), 차량 무선통신용 반도체 소재 및 부품 제조 기술 ," 자율주행 및 차량용, 통신용 반도체 신호 손실 최소화를 위한 패키징 몰딩·기판용 열경화성 고분자 복합 소재 및 통신 반도체 패키지 부품 제조 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제105항 관련)"
반도체(35개), 차세대 전력반도체용 산화갈륨 반도체 제조 기술 , 6인치급 대구경 산화갈륨 단결정/에피/소자 제조용 장비 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제106항 관련)"
반도체(35개), 레이더 칩셋 및 모듈 제조 기술 , 거리/고각/방위각/속도의 파라미터를 동시 추정할 수 있는 초고해상도 레이더 알고리즘을 구현하기 위한 반도체 칩셋 및 모듈 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제107항 관련)"
반도체(35개), 저전력 PIM 반도체 제조 기술 , 어댑티브 빔포밍용 뉴로모픽 기반 저전력 PIM(Processing-In-Memory) 반도체 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제108항 관련)"
반도체(35개), 바이오 프로세서 제조 기술 , 저전력 PIM 반도체 기반 질병진단용 AI(Artificial Intelligence) 온칩 바이오 프로세서 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제109항 관련)"
디스플레이(16개), 고해상도 OLED 제조를 위한 핵심부품 제조 기술 ," OLED 제조에 있어 고해상도, 고화질을 구현하기 위한 핵심부품 제조 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제110항 관련)"
디스플레이(16개), 디스플레이 패턴용 공정장비 제조 기술 , 회로 이미지 패턴을 형성하는데 사용하는 장비 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제111항 관련)"
디스플레이(16개), 디스플레이 증착 장비 제조 기술 , 디스플레이 소자를 구성하는 물질을 초박막 형태로 증착하는 장비 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제112항 관련)"
디스플레이(16개), 디스플레이용 코팅 소재 제조 기술 , 기능성 막 형성 및 표면특성 개선을 위한 코팅막 형성을 위한 소재 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제113항 관련)"
디스플레이(16개), 디스플레이용 필름 소재 제조 기술 ," 디스플레이 지지, 보호 및 특정 기능을 위한 필름 소재 제조 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제114항 관련)"
디스플레이(16개), 디스플레이 화소발광 소재 제조 기술 , 디스플레이 화소를 형성하기 위해 박막을 형성하여 전류를 흘렸을 때 빛을 내는 발광 소재 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제115항 관련)"
디스플레이(16개), 디스플레이용 산화물 TFT 소재 제조 기술 , 높은 전도도를 갖는 TFT 소재 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제116항 관련)"
디스플레이(16개), 초고해상도 디스플레이 화소용 색변환 소재 제조 기술 ," 백색 또는 청색을 R,G,B 화소색으로 구현하기 위한 색변환 소재 제조 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제117항 관련)"
디스플레이(16개), 디스플레이용 패턴 형성을 위한 직접 도포 장비 제조 기술 , 디스플레이 패널 제조에 있어 용액을 원하는 위치에 정량 도포하여 박막을 형성하는 장비 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제118항 관련)"
디스플레이(16개), 마이크로 LED 디스플레이용 소재·부품 제조 기술 , 수 ㎛ 크기의 고효율 마이크로 LED를 제조하거나 이를 이용하여 디스플레이 패널을 제조하기 위한 소재·부품 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제119항 관련)"
디스플레이(16개), 마이크로 LED 디스플레이용 공정 장비 제조 기술 , 수 ㎛ 크기의 고효율 마이크로 LED를 제조하거나 이를 이용하여 디스플레이 패널을 제조하기 위한 공정 장비 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제120항 관련)"
디스플레이(16개), XR 디스플레이용 소재부품 제조 기술 ," 가상현실과 증강현실, 혼합현실을 포함한 확장현실을 구현하기 위한 디스플레이 패널용 소재·부품 제조 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제121항 관련)"
디스플레이(16개), 커버 윈도우 소재 및 부품 제조 기술 , 디스플레이 패널의 화면부를 외부의 영향으로부터 보호하는 기능을 수행하는 투명 소재 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제122항 관련)"
디스플레이(16개), 전기전도성 나노잉크소재 제조 기술 , 유연하면서 투명하고 전기가 통하는 플렉시블 투명전극을 구현하기 위한 나노잉크소재 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제123항 관련)"
자동차(16개), 카본 복합 소재 제조 기술 , 금속에 비해 강도와 탄성이 뛰어나도록 탄화하여 만든 복합재 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제124항 관련)"
자동차(16개), 자동차용 고압가스 및 액체 저장용기 소재·부품 제조 기술 , 가스저장용기의 누출방지 및 장기보관 등의 기능을 위해 사용되는 소재 및 부품 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제125항 관련)"
자동차(16개), 자동차 연료전지 스택용 핵심 소재·부품 제조 기술 , 자동차 연료전지 스택에 사용되는 소재 및 부품 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제126항 관련)"
자동차(16개), 운전자정보시스템 최적화 기술 , 운전자에게 주변 상황을 직관적이고 명확하게 인지하도록 제공하는 편의 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제127항 관련)"
자동차(16개), 빛·열에너지 변환 부품 제조 기술 , 빛·열 에너지를 영상 데이터로 변환해 주는 부품 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제128항 관련)"
자동차(16개), 차량 제어부품 기술 , 차량 상태와 운전자의 주행 의지 정보를 입력받아 차량을 제어하는 장치의 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제129항 관련)"
자동차(16개), 차량용 전원분배장치 최적화 기술 , 자동차 전원과 신호를 최적 분배 및 제어하는 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제130항 관련)"
자동차(16개), 내마모 특수강 제조 기술 , 회전속도를 변경해주는 동력전달시스템인 회전계용 내마모 특수강 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제131항 관련)"
자동차(16개), 자동차 구동 모터용 소재·부품 제조 기술 , 자동차의 추진력을 발생시키는 모터에 사용되는 소재 및 부품 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제132항 관련)"
자동차(16개), 전자식 변속 제어장치 제조 기술 , 전기적 신호로 차량 주행방향과 속도를 변경하는 변속 제어장치 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제133항 관련)"
자동차(16개), 장수명 도금 강판 제조 기술 ," 내열성, 내식성 등을 높이기 위해 합금을 도금·도포한 도금강판 제조 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제134항 관련)"
자동차(16개), 유기계 섬유 소재 제조 기술 ," 고강도, 고탄성률, 고내열성, 난연성, 내화학성을 가지는 극한성능 유기계 섬유 소재 제조 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제135항 관련)"
자동차(16개), 차량용 동력전달시스템 및 부품 제조 기술 , 동력원으로부터 발생되는 에너지를 도로에 전달함으로써 차량을 움직일 수 있도록 하는 부품 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제136항 관련)"
자동차(16개), 자동차 부품용 고성능 코팅 공정 및 장비 제조 기술 , 미래형 자동차의 고성능화/고효율화를 위한 다기능성 저마찰 고내구 코팅 공정 및 장비 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제137항 관련)"
자동차(16개), 차량 내 통신 및 전력 공급용 소재·부품 제조 기술 , 차세대 자동차에 사용되는 기존 배선 대비 고효율 배선 소재 및 부품 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제138항 관련)"
기계금속(50개), 고경도 가공용 부품 제조 기술 ," 내충격, 내마모 특성으로 각종 기계 가공에 사용되는 부품 제조 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제139항 관련)"
기계금속(50개), 광학 가공장비 제조 기술 ," 광학을 이용한 가공장비와 광학가공장비를 구성하는 소스, 모듈, 제어 시스템 제조 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제140항 관련)"
기계금속(50개), 연삭장비 제조 기술 , 숫돌을 이용하여 마무리 가공하는 장비 및 부품 설계 및 제작 기술 ,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제141항 관련)"
기계금속(50개), 원통형 절삭 가공장비 제조 기술 ," 원통형 부품을 정밀하게 고속으로 가공하는 절삭 가공장비 제조, 설계 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제142항 관련)"
기계금속(50개), 다축 절삭 가공장비 제조 기술 ," 부품을 정밀하게 고속으로 자동 가공하는 절삭 가공장비 제조, 설계 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제143항 관련)"
기계금속(50개), 방전 가공장비 제조 기술 , 기존 절삭 공정으로 가공이 어려운 고경도 난삭재료 가공을 위한 방전 가공장비 제조 기술 ,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제144항 관련)"
기계금속(50개), 열교환부품 제조 및 성능 개선 기술 , 열을 효율적으로 교환하거나 전달하도록 설계된 장치 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제145항 관련)"
기계금속(50개), 부직포 소재 제조 기술 ," 분리ㆍ여과, 흡수？흡음, 보호용 소재 및 모듈 제조 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제146항 관련)"
기계금속(50개), 여과장치 소재 및 효소 제조 기술 , 여과장치용 소재 및 여과장치를 활용한 바이오 효소 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제147항 관련)"
기계금속(50개), 유량 및 유압 제어부품 제작 기술 , 안정된 유량 및 유압조절을 통하여 작업장치를 제어하는 부품 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제148항 관련)"
기계금속(50개), 고정밀 구동부품 제조 기술 , 고정밀 모션 구현이 가능한 고성능 구동 부품 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제149항 관련)"
