분야,대상기술,기술 설명,관계법령
바이오(19개), 첨단바이오의약품 제조용 핵심 세포 및 소재 제조 기술 ," 세포 유전자 치료제 제조용 세포, 바이러스 벡터 제조 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제221항 관련)"
바이오(19개), 바이오 의약품 생산용 세포 배양 소재 및 장비 제조 기술 ," 세포 배양을 위한 배양기기(바이오리액터, 담체) 및 배지 제조 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제222항 관련)"
바이오(19개), 바이오의약품 정제공정 소재 및 제조 기술 , 단백질을 고순도로 정제하는데 사용되는 레진의 기초소재 및 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제223항 관련)"
바이오(19개), 항체-약물 접합체(ADC) 생산용 핵심 원료의약품 및 소재 제조 기술 ," 암질환 맞춤형 치료가 가능하고, 유효성 및 안정성이 개선된 항체 기반 차세대 의약품인 항체-약물 접합체(ADC; Antibody-Drug Conjugates) 생산을 위한 핵심 원료의약품(이중항체, 다중항체) 및 소재(링커, 저분자화합물) 제조 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제224항 관련)"
바이오(19개), 합성의약품 연속 생산 시스템 제조 기술 ," 화학합성의약품의 생산성 및 품질 증진을 위한 자동화 기반의 연속생산 시스템으로서, 3개 단위공정 이상 연속생산 모듈형 장비 및 통합시스템(SW 포함) 제조 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제225항 관련)"
바이오(19개)," 바이오의약품 생산용 디지털트윈 부품 및 장비, SW 제조 기술 "," 바이오의약품 연속제조공정에 쓰이는 필수 단위 조작(연속반응기, 크로마토그래피 등)에 대한 디지털트윈 기반의 가상물리솔루션 및 장비, 품질 모니터링 부품, 센서 모듈, 가상화 소프트웨어가 포함된 통합시스템 제조 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제226항 관련)"
바이오(19개)," 바이오파운드리용 초고속, 대량생산 핵심 장비 제조 기술 "," 합성생물학 기반의 바이오파운드리 ‘설계-제작-시험-학습’ 파이프라인에 적용되어 유전자·단백질·미생물의 초고속, 대량생산에 활용되는 유전자 합성·분석 기기, 미생물 분리·분석 기기, 미생물 배양공정 자동화기기의 제조 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제227항 관련)"
바이오(19개), 바이오매스 유래 기능성소재 바이오 제조 기술 ," 인체의 건강유지 및 노화방지 기능을 갖는 활성 물질을 바이오매스 유래의 천연물질을 원료로 이용하여 파일럿 스케일 이상의 바이오공정(발효, 생물전환, 효소반응 등) 기반으로 생산하는 바이오 제조 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제228항 관련)"
바이오(19개), 바이오의약품 경구용 제형화 기술 ," 바이오의약품의 안정성과 투여 불편함의 문제점, 낮은 경구흡수율을 극복하기 위한 생체내 안정화 제형 기술, 생체 점막 투과 촉진 기술 및 나노 제형 제조 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제229항 관련)"
바이오(19개), 바이오의약품 핵심 첨가제 제조 기술 , 바이오의약품을 구성하는 활성성분 외에 첨가되는 물질로 바이오의약품 제재화와 안정화를 증진시키는 목적으로 사용하는 물질의 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제230항 관련)"
바이오(19개)," 멀티오믹스 분석용 소재, 부품모듈 및 장비 제조 기술 "," 4종 이상의 멀티오믹스(유전체, 전사체, 단백체, 후성유전체, 지질체, 마이크로비옴체 등) 데이터 세트를 분석하여 난치성 질병의 예후를 예측하기 위한 분석용 소재, 부품 모듈 및 장비 제조 기술과 인공지능 기반 질환 데이터 분석 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제231항 관련)"
바이오(19개), 환자 맞춤형 3D 프린팅 소재 및 장비 제조 기술 , 환자의 손상된 조직을 치료하기 위해 3D 프린팅 기술을 활용하여 맞춤형 인공조직 제작에 활용되는 바이오 생체소재 및 장비 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제232항 관련)"
바이오(19개)," 의료 진단/치료용 초음파 소자, 부품 및 장비 기술 "," 의료 진단용 영상 초음파, 심혈관성 진단 및 치료 등에 사용될 수 있는 MEMS(Micro-Electro-Mechanical Systems) 기술 기반의 초음파 소자, 부품 및 장비 제조 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제233항 관련)"
바이오(19개), 비열처리 골이식재 제조용 무기물 원료 소재 제조 기술 , 정형외과·성형외과·치과 등 다양한 골기능 복원 목적으로 적용되는 골이식재를 고온 열처리를 하지 않고 제조할 수 있는 의료용 생체 원료 소재 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제234항 관련)"
바이오(19개), 올리고 합성 및 후처리 공정장비 제조 기술 , 효율적인 유전자 합성을 위한 핵산 모노머의 지속적인 공급과 최종 합성된 핵산(올리고)의 분리/정제/탈염/농축 등 여러 공정이 하나의 장치에서 자동으로 이루어질 수 있는 합성된 핵산의 후처리 공정장비 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제235항 관련)"
바이오(19개), 표적맞춤형 약물전달소재 제조 기술 ," 뇌, 췌장 등 약물 투과가 어려운 표적 장기 또는 조직에 안정적이고 효율적으로 약물을 전달하기 위한 신소재 제조 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제236항 관련)"
바이오(19개), 혈액투석을 위한 인공신장기용 혈액여과기 제조 기술 , 합성수지 소재를 이용하여 선택적이면서도 높은 효율로 혈액투석을 수행할 수 있는 비대칭형의 단면 구조를 가진 혈액여과기(멤브레인)를 제조하는 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제237항 관련)"
우주항공(20개), 우주 발사체 액체로켓엔진 설계 및 제조 기술 ," 지상 또는 우주공간에서 원하는 지점으로 물체를 수송하는데 필요한 추진력을 제공하는 발사체 엔진 핵심부품(연소기 재생냉각채널, 재생냉각 노즐확대부, 복사냉각 노즐확대부, 극저온 펌프 인듀서 및 임펠러, 극저온 베어링 및 씰, 터보펌프 터빈, 밸브, 열교환기) 설계 및 제조 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제238항 관련)"
우주항공(20개), 우주 발사체 재사용 및 재진입 위한 열방호시스템 기술 , 우주 발사체 재사용 및 우주 비행체가 재사용을 위해 지구로 귀환할 때 발생하는 공력가열로부터 동체를 보호하기 위한 열방호시스템 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제239항 관련)"
우주항공(20개), 지상 또는 심우주용 관측 광학모듈 소재 및 부품 제조 기술 ," 우주 관측용 반사경에 사용되는 초저열팽창 소재(유리, 세라믹, 금속 등) 제조, 부품 생산공정 및 우주인증 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제240항 관련)"
우주항공(20개)," 위성용 초정밀, 고속 자세제어 기술 "," 별추적기와 자이로 측정값을 기반하여 위성자세를 정밀하고 빠르게 제어하는 고속기동 자세제어 기술과 별추적기 및 위성용 자이로의 설계, 제조 및 성능검증 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제241항 관련)"
우주항공(20개), 우주 발사체 및 위성용 이차전지 기술 ," 우주 환경 및 다양한 임무 수행에 최적화된 이차전지 패키지, 대용량 전력 조절 및 분배 Unit의 설계 및 제조 기술과 우주 환경 신뢰성 평가 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제242항 관련)"
우주항공(20개), 우주 발사체 및 위성용 3D 프린팅 소재 및 제조 기술 , 우주항공용 발사체 및 위성 구조물을 3차원 적층을 통해 일체화하는데 필요한 소재 및 공정 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제243항 관련)"
우주항공(20개), 위성 및 심우주 탐사선용 이온 전기추력기 기술 ," 위성 및 심우주 탐사선에 활용할 수 있는 고전압 고효율 전기추력기의 주요부품(양극, 음극, 절연체, 그리드) 및 특수소재, 고전압 발생 소자, 전기추진시스템 주요부품(Xe 추진제 고압탱크, 연료 레귤레이터 및 유량조절기) 제조 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제244항 관련)"
우주항공(20개)," X,KuKa대역 또는 레이저를 활용한 대용량 위성 통신 기술 "," X-Band, Ku/Ka-Band 또는 그 이상의 mm파 대역을 활용하여 우주 환경에서 대용량 통신을 구현하기 위한 위성용 안테나, 우주용 초고속 네트워크 반도체, 위성 레이저 통신 장비, 위성과 지상 간 대용량 데이터 전송 장비 제조 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제245항 관련)"
우주항공(20개), 항공기용 가스터빈 소재부품 기술 , 항공기용 가스터빈의 고온 부품에 적용되는 핵심 소재의 공정 최적화 및 설계 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제246항 관련)"
우주항공(20개), 항공기용 전기식 제어장치 제조 기술 ," 항공기의 비행자세 및 비행속도를 제어하거나 착륙장치, 조향 장치 등에 적용되는 고신뢰, 다중화 전기식 작동기 제조 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제247항 관련)"
우주항공(20개), 회전익기용 동력전달장치 소재·부품 설계 및 제조 기술 , 회전익기의 비행에 필요한 고속 및 고출력의 동력을 엔진으로부터 로터에 공급하는 장치의 소재·부품 설계 및 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제248항 관련)"
우주항공(20개), 항공용 초고강도 탄소복합재 제조 기술 ," 우주·항공용 품질 기준에 부합하는 고강도·고강성 탄소복합재 생산을 위한 탄소섬유 및 중간재 제조 기술, 수지주입성형(RTM :  Resin Transfer Molding) 공정 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제249항 관련)"
우주항공(20개), 항공용 고강도 알루미늄 합금 대형 압연재 제조 기술 ," 항공기 기체구조 경량화를 위한 고강도, 고인성 특성을 갖춘 알루미늄 대형(두께 254mm, 폭 2,413mm 이상) 압연 판재 제조기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제250항 관련)"
우주항공(20개), 항공기 구조물 체결 패스너 제조 및 마찰교반용접 기술 ," 항공용 성능 및 품질 기준을 만족하는 항공기 구조물 체결용 패스너(볼트, 너트 등) 제조 기술 및 항공용 초경량 합금강 마찰교반용접 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제251항 관련)"
우주항공(20개)," 고효율, 고추력, 저소음 항공기 로터/프로펠러 제조 기술 "," 항공기의 양력 또는 추력을 발생시키기 위한 고효율, 고추력, 저소음 로터/프로펠러의 설계, 제작 및 시험평가 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제252항 관련)"
우주항공(20개), AAM 비행체 위치/자세 탐지 센서 제조 및 복합항법 기술 ," 미래항공모빌리티 비행체의 위치/자세 추정 및 충돌 방지용 객체 탐지/추적을 위한 광학식 자이로스코프 센서 및 MEMS 기반 3축 가속도센서 제조 기술, 다수 영상 데이터 실시간 처리 기반의 충돌방지 기술, 이종 센서 데이터 기반의 복합항법 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제253항 관련)"
우주항공(20개), AAM용 하이브리드 전기추진시스템 제조 기술 ," 동력원(수소 연료전지 또는 가스터빈 발전기)과 고전압 고출력 배터리에서 전원을 공급하고, 모터를 통해 로터를 구동하여 비행에 필요한 추력을 만들어 내는 전기추진시스템 제조 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제254항 관련)"
우주항공(20개), 드론용 자율주행 데이터처리 부품 제조 기술 ," 복수의 센서(카메라, 라이다 등)를 통해 확보된 데이터(지형/이미지/위치 정보 등)를 인공지능 기반으로 분석하여 위치 추정, 정밀도 보정 및 자율주행 정확도 향상 기능을 수행하는 데이터 융합처리 부품 제조 기술 및 SW 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제255항 관련)"
우주항공(20개), 무인기 다중 데이터링크 통신제어 부품 제조 기술 ," 무인기의 안전한 운용을 위해 무인기와 지상통제장비 간 이중화(드론 제어명령과 비행데이터 전송을 분리, 장거리 비가시권 이중화 통신 제어) 개념이 적용된 데이터 통신시스템을 구성하는 통신제어 부품 제조 및 인증 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제256항 관련)"
우주항공(20개), 무인기 급속 자동충전 부품 제조 기술 ," 무인기의 비행시간 한계 극복 및 자동 반복 임무수행을 위한 충전 자동화, 정밀 접근 이착륙, 배터리 급속 자동충전 부품 제조 및 표준화 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제257항 관련)"
방산(2개), 전장용 Edge AI 반도체 제조기술 ," 전투원 및 이동체가 전장에서 수집한 데이터를 현장에서 실시간으로 데이터 프로세싱을 통해 분류(Classification), 감지(Detection, Segmentation), 생성(Generation)하는 AI 반도체로, 군사규격(MIL-STD)의 주문형 반도체 제조 기술, 전장환경에 적용 가능한 AI 알고리즘 SW 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제258항 관련)"
방산(2개), 국방 다기능 반도체 패키징 및 칩렛용 고속 송수신기 기술 ," 국방 다기능 반도체의 신호처리 SoC, 센서, Memory 등 Multi-die 칩 간의 저손실 고속 칩렛(Chiplet) 패키징을 구현하기 위한 소재 및 공정 기술과 군사규격(MIL-STD)을 만족하는 칩간 고속 유선통신 송수신기 회로 설계 및 제조 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제259항 관련)"
수소(18개), 저온 수전해용 핵심소재 제조 기술 ," PEM 수전해기의 단위셀 막전극 집합체(membrane electrode assembler, MEA), 급전체(Gas Diffusion Layer, GDL), bipolar plate(또는 분리판, flow-plate) 등을 구성하는 소재 제조 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제260항 관련)"
수소(18개), 수전해용 전해질 소재 및 분리막 제조 기술 ," 알칼라인 수전해용 분리막, AEM(Alkaline Electrolyte Membrane) 수전해용 음이온 이오노머 및 음이온교환막 제조 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제261항 관련)"
수소(18개), 수전해용 전극 소재부품 및 전극촉매 제조 기술 ," 알칼라인 수전해용 니켈 Mesh/Lath/Foam, AEM(Alkaline Electrolyte Membrane) 수전해용 전극촉매 제조 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제262항 관련)"
수소(18개), 알칼라인 수전해용 분리판 제조 기술 ," 알칼라인 수전해 셀과 셀 사이에 위치하여 산소극과 수소극을 분리시키는 금속판으로, 내부식 코팅을 적용한 금속소재 제조 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제263항 관련)"
수소(18개), 프로톤 세라믹 수전해용 셀 제조 기술 ," 고체산화물 수전해전지의 작동 환경에서 우수한 프로톤 전도 특성과 함께 누설전류가 현저히 억제되는 전해질 소재를 제조하는 기술, 난소결성을 극복하는 소결 공정을 통해 대면적 셀을 제조하는 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제264항 관련)"
수소(18개), 수전해 시스템용 방폭 센서(수소/산소) 제조 기술, 수전해 시스템에서 생산되는 수소 내의 산소 불순물과 생산되는 산소 내의 수소 불순물을 측정하는 방폭 수소 및 산소 센서 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제265항 관련)"
수소(18개), 수소 유량계 제조 기술 , 고압·저온의 수소가스에 대한 대용량·고내구성의 정밀한 유량 측정 기술이 적용된 질량유량계 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제266항 관련)"
수소(18개), 극저온 대유량 액체수소용 원심펌프 제작 기술 ," 극저온(-253℃)의 액체수소를 이송하기 위해 사용되는 펌프의 설계, 제작 및 시험평가 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제267항 관련)"
수소(18개), 극저온 대유량 액체수소용 밸브 제조 기술 ," 극저온(-253℃)의 액체수소를 대용량 이송시 흐름을 차단 및 제어하는 극저온 밸브의 설계, 제조 및 시험평가 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제268항 관련)"
수소(18개), 초저온 실링용 탄성 소재 제조 기술 ," 펌프, 플렉시블 호스, 밸브 및 배관 등의 연결부에서 고압가스의 누출을 방지하기 위하여 사용되는 O-링 및 가스켓 등과 같은 기밀재의 소재로, 영하 250℃의 초저온 환경에서 사용할 수 있는 실링용 탄성 소재 제조 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제269항 관련)"
수소(18개)," 액체수소용 긴급차단밸브(ESV), 안전밸브(PSV) 제조기술"," ① 액체수소의 흐름을 긴급하게 차단하는 기능을 가진 이중 자켓 형식의 긴급차단밸브(Emergency Shut-off Valve; ESV), ② 액화수소 탱크가 설정한 압력에 도달하면 열리고 일정한 압력 이하로 감소하면 닫히는 안전밸브(Pressure Safety Valve; PSV) 제조 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제270항 관련)"
수소(18개), 극저온 단열 소재 제조 기술 , 액화수소 저장탱크 내벽과 외벽 사이에 위치하여 외부로부터 전달되는 복사열을 차단하기 위해 여러 층의 복사차단막과 전도차단막(스페이서)이 교차되어 이루어진 MLI(Multi-layer insulation) 단열재 및 입자형 진공 단열재 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제271항 관련)"
수소(18개), 액체수소 저장탱크 제조 기술 , 영하 253℃의 극저온 액체수소를 충전소에 저장하기 위한 이중벽 구조의 초저온 탱크 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제272항 관련)"
수소(18개), 수소 압축기용 다이아프램 제조 기술 ," 수소 압축기용 다이어프램의 고내구성 소재, 씰링, 설계 및 가공 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제273항 관련)"
수소(18개), 수소저장합금 제조 기술 , 수소와 결합하여 수소화합물(고체) 상태로 수소를 저장하는 합금 설계 및 대량 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제274항 관련)"
수소(18개), 수소 전소 엔진 제조 기술 , 수소를 연소시킨 열에너지를 운동에너지로 변환하는 내연기관 엔진 및 소재·부품 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제275항 관련)"
수소(18개), 고압 수소 전용배관 제조 기술 , 기체수소를 단거리 또는 장거리를 이송하기 위한 금속 또는 비금속 배관 소재 제조 기술,"핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제276항 관련)"
수소(18개), 발전용 고온 연료전지 소재 및 셀 제조기술 ," 건물·발전용 고온 연료전지(Solid Oxide Fuel Cell ; SOFC) 셀을 구성하는 핵심 소재인 전해질, 양극재, 음극재, 분리판, 밀봉재와 이를 이용하여 셀을 제조하는 기술","핵심전략기술 및 핵심전략기술과 관련된 품목, 핵심전략기술 선정·재검토 세부절차 등에 관한 고시 [산업통상자원부고시 제2024-096호], [별표] 핵심전략기술 목록(제4조제277항 관련)"
